Reviews,Rating
"Firstly I do really like the look of the watch.  It does resemble an apple watch in many ways and I really cant fault the build quality.  The rose gold metal looks classy and the whole thing feels like a quality bit of kit that I was happy to wear.I'd upgraded from a much cheaper Huawei band, expecting a huge improvement, but other than a few unnecessary bells and whistles, I'm not sure I got it.Firstly, the display.  Brilliant to have a wide choice of downloadable faces.  However using the always on display drains the battery in just over a day. Not using always on is an option, but unlike previous bands, this seems to need a button press to view, rather than turning the wrist.  A small, but annoying point.Alexa built in is also unnecessary and seems quite gimmicky.Was excited to be able to control Spotify from the watch, but the reaction time on this is slow and frustrating.Step counting seems fairly accurate.  However I was disappointed to find that the watch has no in built GPS (unlike my far cheaper Huawei) and relies on connecting to your phone GPS, so no maps of running/walking routes available post workout.The last straw for me has been that after a few weeks of use, it seems to be struggling to maintain connection/sync with my phone.  Reluctantly I'm sending it back and will stick to the Huawei!",2.0
"Buyer beware:1. This Fitbit does not fully support the Windows 10 Fitbit app.  Android and IOS are supported, but will often tell you to connect the device to ""your computer"" to performa certain tasks.2. There is no obvious way to transfer your own music to the device storage, although this is a key selling point.3. No native Spotify.  The Spotify app only allows you to control playback from a phone--undermining the ""leave the phone at home"" selling point4.  Deezer is supported offline but ineptly:  the app only shows a subset of your Deezer playlists, and if the one you want to run with is not showing the only way to access it it to delete other playlists until it appears.5. Connectivity and synching are fiddly and uncertain:  some functions only work while charging--but the error messages do not inform the user of the need to connect the device to the charging cradle.6.  No Google Assistant: although Spotify is now owned by Google, the phone only offers Alexa.7. Online help ""community"" will sometimes offer user-generated workarounds, the official response is either to misunderstand the question, ignore it altogether...or shrug.This appears--on paper-- to be a superb piece of hardware. But it desperately needs a complete revamp of the firmware and mobile and desktop apps. If Google are serious about this acquisition they need to seriously look at the programming talent involved in the project.",1.0
"I was always a Fitbit fan,  having bought half a dozen devices over the years, but Fitbit has now completely devalued the entire product range by replacing the excellent summary of the actual time spent asleep with the risible ""sleep score"".  Don't be fooled, this change is a cynical and greedy ploy by Fitbit to get people to upgrade to the premium service which involves paying a monthly subscription fee for something that used to be free. There are many complaints about this change on the Internet and for me this is a complete stopper to using Fitbit going forward.  I'm now waiting for Apple to build in a decent sleep app at which point I will jump ship to the Apple watch.",1.0
"I got this as a gift.It stopped working after 1 week of use. Really disappointed with the product, but the worst part was amazon's customer service - I was offered a repair (for a watch that I've paid nearly 200 pounds). When ai requested a new watch I was told to contact Fitbit by myself and was sent contact form for fitbit.I've bought the watch fr amazon, so I am expecting to have a solution from amazon, not having 5o contact fitbit by myself.Shocking.",1.0
"Well, I tested the  Apple serie 5 Watch for a week (returned!)  just before purchasing this one. In terms of technical promises they are pretty similar this one is even better because it has the sleep tracking.Few different things though that makes Apple a bit more in advance than others is the look.1 - In terms of esthetics this watch is not good at all, so men will like it :(  the full screen is not covered when showing the time, there is a black sort of square around that disturbs me a lot. Only If you buy third party sellers some background watches for Fitbit, maybe you will be lucky to have a full screen covered.2- the main button is on the left side. VERY ANNOYING especially If you wear the watch on the left wrist. The button should have been on the right side (more practical) Apple Watch lets you do that by changing your wrist bands if necessary (an other point for them but their price is crazy high)3- The app is confusing. the user is mostly lost at the beginning and can't start a workout without knowing the watch well before hand! :(4- finally price is still a bit high even though it's half price of an Apple Watch there are many more watches on the market under 50 £ offering same features5- Alexa on my testing watch was not talking, there is no speaker on the phone, it just writes the info, I always need glasses to read, very annoying.",2.0
"I've been a long-standing Pebble Time wearer, but wanted something a bit more up-to-date, and was interested in having heart rate measurement. Battery life is great - easily 5 days with constant use, and only an hour or two to charge back up. I need to have to my phone on me anyway during walks/runs etc. so the Connected GPS is fine for me. The app is packed full of information, although I will say the interface is a bit confusing - just try tapping on everything and there's often more data hidden behind. I'm finding the calorie budget and food logging functionality really useful and have lost a couple of pounds after only a couple of weeks. The heart rate and sleep tracking has proved more interesting than I was expecting. Screen visibility is fine indoors, outdoors. It's a bit plasticky to be honest, but I'm not really worried about the looks anyway. Notifications work well, and give you ability to clear them from the watch, and for some apps delete, open on phone etc. (I'm on Android). There are lots of guided workouts and things from the phone app that I haven't tried yet, but my free trial of Fitbit Premium hasn't convinced me it's worth £9.99 a month yet. Connectivity has been absolutely fine on a Pixel 3a (Android 10). Love the single button on the left side of the watch (I'm right-handed) - simplifies interface, and means it doesn't get accidentally pressed during press-ups, handstands etc. It's not a computing powerhouse like the Galaxy Watch Active or Fossil Wear watches in terms of app choice etc. but I personally don't want to play around with apps on a tiny screen, and not having to charge every day is the absolute clincher for me - I just don't want to find myself away from home unexpectedly for example, with a dead watch because I didn't charge it yesterday. In terms of accuracy, it definitely has a tendency to record movements incorrecly as steps - I'm a drummer, and have to take it off if I'm practicing/playing otherwise I add thousands of extra steps! However, overallI'm very impressed.",5.0
Positives:It is very stylish looking with an extra strap.It has lots of good features including sleep score.The charge lasts quite a while.There is challenges to keep you motivated and mindfullness programs which are great with the covid19 situation.The price is reasonable.Notifies me of messages and emails and allows me to send short responses from the watch.Mobile app is easy to use.Negatives:The accuracy is not great. It doesnt count me going up flights of stairs in my home.It does not have an oximeter.The clock faces have to be purchased with money.Certain apps need premium membership.It doesnt always read heart rate if you have arm/wrist tattoos.Overall its a good watch though. Happy with it and everything it does. Of course there are negatives but the price is reasonable.,5.0
"Everything about the watch is spot on (accurate sleep tracking, app notifications, calls, exercise reminders) except for the steps counter! I’m not sure how much it over estimates my steps (maybe by 50% or more); it is super sensitive that even when driving fitbit counts the wrist movement as steps. Also going to the toilet at night records a whopping 60 steps when it’s probably just 20 steps back and forth to my room. 😅I have a relatively small wrist so I got worried when I bought versa 2 but upon wearing it, I realised it isn’t as big as it looks like. I got this as a present to my sister and seeing how it works made me buy one for myself as well. I like how they have different colours to choose from. The straps are easy to remove so you can change them whenever you want. ❤️😊",4.0
"The Fitbit Versa 2 is a great watch for anyone wanting to get their fitness to the next level. The watch is big but it still looks great on a tiny wrist and is comfortable to wear. It is waterproof (had an accident on day 1!) but it is not what I would call burgundy! If like me you think burgundy as more of a red shade, this watch in burgundy colour is purple! Still beautiful but the image colour is accurate, it's more purple than red. But that is really the only bad thing I have to say about this!The measurements are likely not highly accurate but that is true for any smart watch, take the numbers as general trends not exact! Very happy with it and nice to see that Fitbit made app improvements.",5.0
"Looks great, comfy to wear, very reasonably priced. As a basic watch it functions well. If you turn the always on display off its last just over a week but with always on its about 2 days. The always on display is poor, you cant see it a lot of the time and its different to the clock faces you choose. The sleep track is excellent that’s i purchased the Versa 2. The other functions like heart rate are shocking. Doing a HITT workout Where my heart heart was near its max my heart rate on the Versa is showing around 130 lol. If you want a basic smart watch with is excellent for sleep tracking and has good battery life this is your watch. I also order the charge 4 but sent it back. Again with the charge 4 the heart rate is a joke. I found the Versa 2 more comfy to wear and think the charge 4 looks like a kids watch. Both very similar but the charge 4 is fiddly to use where the Versa 2 is easy.",4.0
"I love Fitbits as they always encourage me to get up and drink more water, to get better quality sleep and to eat healthier. Having a constant reminder on your wrist is the perfect way to stay active.Charges really quickly and holds its charge for about four or five days depending on how much you use it.I love that it's water proof - I rinse mine off every time I have a shower as dead skin tends to rub off into it when wearing all the time. Very easy to clean and comfortable to wear.Love this colour the most!!Sleep monitoring skill is very interesting and some of the new clock faces are really inventive. I have steps as my main goal because once I've accomplished that I tend to have already completed the others in the process!Had some trouble updating it at first but I spoke to someone on webchat and it was sorted very quickly - great customer service.Anyway, I love it and I highly recommend.",5.0
"It is beautiful, I bought it on sale and for the price it is what I wanted. A digital watch that does other things besides tell the time.It is great for walking, running, hiking and only a little bit off counting steps. It is a bit useless for biking as it can't tell you the distance but it will tell you calories, heart rate and even the speed of your bike ride. The distance travelled will not be logged correctly though and it can't be edited afterwards. I have looked for fixes on forums and this problem has been brought up at least a year ago and it is not fixed. I do a daily trip of 7km but it only logs 1.3km on average. Some people have mentioned that it will even show their route on the map but the total value isn't correctly logged.It loses pairing very often as well. I'm not sure why... but I simply add a new versa 2 when it stops sync. So I've added my versa about once every 2 weeks. It is a bit of a pain but no data is lost by simply replacing it on the app. It is a gorgeous piece but adding new faces to it can be a long boring process...Overall I would buy it again probably as the competition isn't priced as well and the watches aren't as pretty.If you want a smartwatch for more casual purposes like logging your workouts, tracking your sleep, having an idea of your daily steps (it comes with several features that I don't use but you might want like food log, water intake, weight tracking) then I would recomment it for you.It is very customizable, you can change the amount of calories you wish to reach daily, the amount of steps, hours of sleep, etc. It is all done through the app or dashboard (on the website).",4.0
"My partner and I have used FitBit for years and love the step tracking, sleep tracking and the layout etc of the App. However after the disappointment of this product my partner has now switched to Garmin.The Versa 2 is a very nice looking watch but please keep your eyes open read the specs carefully and all the reviews.Liked:Nice design, Interchangeable straps, bright clear straps.Disliked:Alexa functionality was a key advertising tool, applications are very minimal, and actually was never used.Spotify account kept logging you out constantly, known issue with no resolution. Plus requires premium membership.Pay functionality is extremely limited and very few banks available.Screen glass is not robust, you must buy a screen protector.",2.0
"Sent back.The watch itself was great.The smart watch features were fantastic.It has an attractive sleek design that doesn't sit too proud on the wrist.The issue was the gps.My other half wanted an upgrade from his tomtom - he wanted a heart rate monitor and I thought some smart features would make it a great Christmas present.We were aware the GPS was linked to the phone rather than having its own strand alone gps in the watch - fine as my partner runs with his phone all the time anyway. What was disappointing is the GPS is used to create a pretty map of where he's been and that seemed to be all. The distance he ran was worked out based on his stride length and number of steps. This led to his usual 5km run being measured at a little over half this distance!! Granted we hadn't set up his stride length, but we were also very aware his stride length would change depending on his pace. If he 'ran' with me - I'm incredibly slow - or if he sprinted to pass his navy set fitness times or beating himself in 10ks.We bought this watch primarily for running and the smart features were extra. It is not suitable for this if you're interested in accurately tracking your runs. We switched to a Garmin and he loves it.If however you want an attractive smart watch with some health tracking features it's great!!",3.0
"Really underwhelmed with this device. Heart rate tracker is spotty at best, I followed all the advice but it still drops from 'peak' to 'fatburn' in an instant, and then back whilst working out. Not really what I wanted, and it is often wildly out against any piece of equipment I use in the gym with a HR monitor. The only advice fitbit were able to give me was to change the positioning, which I did and still have this issue.There is no functionality for fitbit pay in the UK unless you bank with Santander or a few other banks I had never heard of.If you want more in depth sleep tracking, and a few other features you need to pay for fitbit premium, another added cost on top of an already expensive watch.Very few apps available, no functionality for anything like amazon music (despite having an inbuilt Alexa).Voice recognition for replying to messages is TERRIBLE and unusable.I have a fitbit in Stone, and its purple. It looks grey ish on the website but its definitely purple. Within a month the colour was rubbing off the buckle on the strap too so thats not good. The silicon strap is ugly, and although you can buy third party straps, its very tricky to swap them over and not really worth the hassle.I enjoy the activity tracking, heart rate (when it works) and the screen on the watch is of good quality, but this falls so far short of what I thought it was going to be.In my opinion, save yourself a lot of money and avoid, or purchase a smartwatch.",2.0
"I bought this for my wife who hates watches, and said she did not want a fittness/smartwatches. My main reason for getting this for her is she has tachycardia, I thought it would be easier to keep track of her heart rate. Getting the weekly report sent straight to her phone.We set it up very easily. The app was great. She put it on and finds it very comfortable. She loves it. Customising all her goals, lady calendars, and Alexa. She loves asking it all sort of questions.The steps accuracy is great, sleep cycles are great and easy to record. All round great so far.",5.0
"Easy to use. Seems to pick up the steps accurately. Heart rate again is accurate against my blood pressure monitor. I walk and like the GPS maps of where I have been. Steps taken , heart rate and calories burned. I also do Yoga which it can’t really track other than heart rate. The watch encourages me to move and  push my heart rate up.I have lost around half a stone and my blood pressure has decreased. All good.",5.0
"Great item until it became faulty after 10 months? I had a right hassle sending it back for repair and having it returned. When it did arrive back it wasn't the watch i sent for repair? It was a different colour (not great) and it arrived in flimsy plastic pouches and not the original packaging/box i sent it for repair in? Not only have i now got an item in a totally different colour from the one i purchased, i don't have any of the original packaging and i never got any explanation as to what was wrong with my item and why i was sent a different replacement? Very shoddy and unprofessional.",5.0
"I'm having a lot of fun with this. Previously I've used basic trackers but the upgrade has been worth it. As a fitness tracker the features are very useful. I didn't think I was interested in the sleep tracking but have found it really informative. I find the tracker easy to use and am making the most of the app and the motivation that comes with it. The screen is great and I find I can read it in bright sunlight.  As a first time smart watch user, a stand out moment for me was when I was busy painting furniture, I was able to read and reply to a text using my voice, without finding my phone- now that's convenient. The Alexa feature is good for basic requests like the weather. The colour is gorgeous and the strap is very comfortable and easy to clean. There is a lot I still haven't tried; the music storage, the Spotify control, the work outs. I got this on offer (£155) and so far I'm getting a lot for my money.",5.0
"Bought this a few days ago (13th January 2020) and I've been extremely disappointed so far. I've seen reviews saying ""this is a good watch for your first smart watch"" which doesn't give me much hope for the future of smart watches. Connection issues with bluetooth and internet, when my phone has no problem with either, is concerning. Right now this watch is in alpha/beta meaning it should NOT have been released for consumers and as far as I'm concerned, Fitbit have ripped people off. People have been writing reviews in September about the connection issues and it's now midway through January, 4 months without any update, and all the troubleshooting ""advice"" they give you suggests that it's a problem on your end. To cut a long story short, I'm gonna return and get a refund and shop around for a different watch. On the Fitbit fitness tracking side of things its okay, does the job in that department but I didn't pay full price for half the package.  Was looking forward to using Fitbit too.",1.0
"I was really disappointed with this order if I’m honest. I liked the idea of being able to pay for things with my watch however I found out after it arrived that it basically doesn’t support any UK high street branch. If you are with HSBC, Virgin, Santander, Monzo, Yorkshire Bank, NatWest, Halifax  First Direct or nationwide you can forget paying for things on your watch - if you want that you really need an Apple Watch. Music - another disappointment, only supports Deezer (does anyone use this???) or Apple Music subscription. You can’t play your iTunes without downloading onto the watch from the computer (pain in the arse), Spotify or Amazon musics = nope not those either. The Alexa feature on it is clunky - you have to select Alexa from the top of the screen - so if your in the middle of any exercise, it’s basically pointless, it doesn’t have ‘always listening’. It doesn’t support any of the fitness apps you may actually want to use like Nike training club, instead you have to choose from the very limited, cheap apps that it has on its list which is very very very restrictive. And if your interested in your running, fitness and overall wellness- you would be 100 times better getting a Garmin. My brother In law got his Garmin two weeks after I got this and I’ll be honest, I was gutted when I saw how much better his was than mine and price wise he paid the same for his watch as I paid for mine. I’d have swapped it in an instant without a second through. Design wise - well it’s not the nicest looking watch is it? It looks cheap especially with the plastic straps that make it look like a child’s watch. Not really what I wanted when I wear it all day to my corporate job then go to a health club to workout. The app though is very simple to use, very clear and I do like the women’s health (period tracker) section which is an absolute God send when trying to plan weekends away around aunt flow. It’s not bad, if it was around the £50 mark, but when your spending the best part of £200 on a fitness watch you wear 24/7 I think there are much better options out on the market -",2.0
"I had a lot of problems setting the Versa 2 up with my phone (Pixel 3) which is on the compatible phones list.Once it was finally working it seemed to be good, i was getting notifications and it was tracking activity and sleep.The problems were when I'd try to sync with my phone, which on average once a day I would get 'device not found' on screen despite it being connected to Bluetooth. I turned power saving off for fitbit app and Bluetooth on my phone - but this problem persisted. I'd have to restart my phone to resync.I returned the watch as I didn't want to keep having to restart my phone and watch, and I'd miss out on notifications when they got disconnected. It's a shame because the look and features of the hardware really suited what I was looking for.",2.0
"Sent it back after a week, wouldn't stay connected and kept telling me I had to restart my phone to connect, notification would come though about 30% of the time, sleep tracker was off, step count didn't match my phone (by a few 1000 steps).Very basic smart watch/fitness tracker considering the price tag on it.Can only respond to messages with the pre listed responses and emojis, you can set up your own responses but only a couple of words, you can speak to respond to text but that's not very accurate and you have to talk loud for it to register.Only good thing I can say was it was nice and light to wear, even when sleeping and the strap didn't irritate at all.",1.0
"Update: I'm not sure what the strap is made of but it irritated my skin and I'm not very happy about that. It's great to have a smartwatch with great features but if becomes unwearable then what's the purpose?This is the first smartwatch I own and so far I'm really pleased with it. Firstly, the watch is very stylish, looks premium and is comfortable to wear. The strap itself is soft and very easy to adjust, whilst its AMOLED display makes it look and feel premium. I got the pink version which is easy to pair with all types of outfits as it's pastel/ not too bright. I also like that you're able to change its strap and already saw a few options to make it look more elegant if you wish to.Secondly, when you get inside the watch and its functionality, I really like the heart rate tracking option as I drink coffee and it's amazing to see what a big difference it makes. I also love that it tracks the quality of your sleep and it gives you a sleep score, I have been trying to go to bed on time every single night since I got it. Although I was concerned that I won't be able to sleep with the watch on, I've had no problems with it. I don't wear it whilst showering as I find that a bit odd and don't want to ruin it even though I know it's water resistant (that's what happens when you're not born with technology). But I do like that I can wear it when it's raining and not worry that it will get damaged. One other functionality I like is the alarm option, the watch vibrates on your wrist and you can choose the 'Smart Wake' option so that it doesn't affect the quality of your sleep. Plus you won't be waking up your partner if waking up at different times.What I don't like: The Wallet functionality doesn't work due to the type of debit card I hold, so I'd suggest checking which ones are supporting if this is a really big thing for you. I also got the Fitbit Premium app but I've never really used it as it seems the free version of the app works just fine. The charger itself is also not the best design but I like that it charges your watch super fast (it takes about 1 hour to fully recharge).",3.0
"This is one of the worse products I've ever seen in my life. I'm a software engineer and I bought this to help me managing my smart home which I've being building as a DIY for a couple of months, so I'm not completely layman on technology products. The setup is a completely nightmare, app loses track of % complete, watch doesn't start, app can't sync... After a couple of hours setting up I was able to sync it with app and tried to use the Alexa feature (which was the reason for me to buy it) It's a complete nightmare again. It loses connection with phone every 5 minutes and you need to open the app to sync it again (sometimes the sync progress stalls). It doesn't have a ""Find my phone"" feature and it can't connect to spotify or anything if not synched with phone (it asks for resync every 3~5 minutes).For it's price (163 pounds) I expected an amazing spaceship, but this is simply a fancy, expensive and terrible product around your wrist. Buy a Mi Smartband 4 instead. Much cheaper and doesn't try to trick you into having features it doesn't have (this have the features it promises but they don't work, so it's the same as not have).",1.0
"The watch is small enough to look good on my very slim wrists.  Other watches have always looked too big.  The display is really good and the ability to change the watch interface digitally is a nice touch.This is the first fitness watch I've owned that really encourages me to move more without annoying me.  I like that it automatically logs active minutes, the sleep assessment is really accurate and the heart rate monitor is pretty spot on but can take a second or two to catch up when you change exertion levels.  The only downfall is the calorie tracking database.  Compared with MFP, Fitbit still has a way to go and I find that the app can't recognise many foods or their barcodes.  I'd still recommend this watch though.",5.0
"Bought after much research. After 1 hour the ‘raise to wake’ became erratic, sometimes came on, sometimes not. Menus very small and fiddly hampered by the physical menu button being on the left. I wear a watch on my left hand and this is awkward to use my right thumb to press the button. The display cannot be rotated. I found the wristband to be too smooth, the watch slips around the wrist or is too tight. Nothing in between. Most third-party watch ‘faces’ cost to download. I also found that as the watch is always connected to the mobile app, my phone battery drains quicker. The GPS feature is quite useless, as the phone is always required to provide the signal, which means carrying 2 devices everywhere you go. I think Fitbit need to make some big improvements in design and functionality. Returned to Amazon within 24 hours of purchase.",1.0
"This watch was great when it first arrived; it was very accurate and all the apps were fab! However, after about a month or so the touchscreen just stopped working and it became impossible to use the watch. Tried restarting it which didn’t work and because the factory reset is in the settings of the watch, it can’t be accessed when the touch screen isn’t working so that wasn’t an option. When I looked in the Fitbit help page it seemed to be a common problem amongst this model with a lot of people and the Fitbit customer service was appalling. There was no help apart from “have you tried restarting it?” After I had already told them I had attempted restart! Amazon were great and sent me a full refund so no complaints there :) so just be warned if you decide to buy this watch!",1.0
"Very good product, fits well in my wrist and its barely noticeable, I sometimes forget I have it on until I check he time or my heart rate. For a while it used to synch up to my phone automatically but now I have to manually sync which is fine. The mobile app has some problems when sending messages to the watch as I have to reset the app each time to get my messages to come through. But overall I'm very pleased with this watch as it allows me to keep track of my fitness and eating/drinking habits.",5.0
"I had a Fitbit blaze previously and decided to upgrade for my birthday gift. I love my new Fitbit, it is less chunky than the blaze and sits closer to the wrist so is more comfortable to wear. The straps are a bit difficult to take off and put back on again and the length is a bit strange. I’ve got medium sized wrists and so the small band only fits on the last hole but the large band fits on the third hole, leaving a huge flappy end which can be a bit annoying.The interface is nice and I like the smart alarm feature that recently updated. There isn’t a huge selection of Apps so I’m not sure you could call it a true smart watch but it’s useful to be able to see today and tomorrow calendar and get calls and text message notifications.",4.0
"I ordered this as prime day deal and was really disappointed. I have an iPhone 11 Pro Max and most of the features weren’t even transferable. It doesn’t connect to Apple health. Most of the exercises and workouts on the Fitbit you have to be a premium Fitbit member for £7 month. Fitbit pay only works with a select few banks, not even Nationwide or other big banks. I was hoping for something more than just a device that checks my steps, my sleep, heart rate and tbh that’s all this device can do. All the clock faces you have to pay for so you can’t really customise it. Absolute waste of money if you’re hoping for more than just a basic watch with health monitoring. It was very pretty but the screen size was small. I think if you’re an iPhone user you’re better off spending another £100 which works properly with Apple. You can’t even check notifications or reply to messages on the Fitbit versa. Truly disappointing, I returned it after a day.",3.0
